loss_q,loss_v,loss_total,viol_c1,viol_c2,viol_c3,viol_c4,epoch,beta,val_q_loss,cvr_batch,lambda_1,lambda_2,lambda_3,lambda_4
22.96071789597173,0.04349327771250412,22.979628075689806,0.009319233311302048,0.041374752151004855,0.18116325182349022,0.0023793787177792463,1,5.0,22.621602111816408,0.05855915400089409,1.005507812499997,0.9953170072287324,1.1087980769574648,1.0014062499999987
22.563594365797528,0.041816878293672304,22.58921844169783,0.009319233311302048,0.041374752150512416,0.18116325182545998,0.0023793787177792463,2,4.986666666666666,22.444801119290865,0.05855915400126342,1.0110156249999946,0.9901156851276763,1.2174233774840828,1.0028124999999974
22.341162313598712,0.038135514757488234,22.366910513142287,0.009319233312533143,0.041374752150512416,0.18116325182939946,0.0023793787177792463,3,4.973333333333334,22.18482669536884,0.05855915400255606,1.0166962139494635,0.9849143630266198,1.325703125149011,1.0042187499999962
22.076101137200336,0.04729996543803596,22.106865087031373,0.009319233311302048,0.041374752150512416,0.18116325181758097,0.0023793787177792463,4,4.96,21.934570049579328,0.05855915399929367,1.022204026449461,0.9797130409255639,1.4350195313990104,1.0056249999999949
21.764161225272897,0.05518458202057774,21.798815685002438,0.009319233311302048,0.041374752149281324,0.18116325182545998,0.0023793787177792463,5,4.946666666666666,21.65693885920598,0.05855915400095565,1.0277118389494586,0.9743389423750356,1.5436448319256297,1.0070312499999936
21.47711151014947,0.06227496272422033,21.513040181854585,0.009319233311302048,0.041374752152974606,0.18116325182152046,0.0023793787177792463,6,4.933333333333334,21.41195469548152,0.058559154000894086,1.0332196514494565,0.9694831731729229,1.652615685313939,1.0084374999999923
21.19767509972269,0.0730550499912413,21.237201600033796,0.009319233311302048,0.041374752152974606,0.18116325182545998,0.0023793787177792463,7,4.92,21.222999751164362,0.058559154001878964,1.0387274639494537,0.9646274039708103,1.7612409858405575,1.009843749999991
20.980601743003508,0.0828286609288012,21.025119662489704,0.009319233311302048,0.04137475214805023,0.18116325182152046,0.0023793787177792463,8,4.906666666666666,21.0312876762977,0.058559153999662994,1.0442352764494518,0.9590805289708108,1.8702118392288662,1.0112499999999898
20.791568604070306,0.08703780451005291,20.835225308752975,0.009319233311302048,0.041374752150512416,0.18116325184121798,0.0023793787177792463,9,4.8933333333333335,20.908742950439454,0.058559154005202924,1.0497430889494488,0.9538792068697545,1.9797010220587243,1.0126562499999885
20.560274773375216,0.09262647131225248,20.60761707026046,0.009319233311302048,0.04137475214854267,0.18116325181758097,0.0023793787177792463,10,4.88,20.766378666804385,0.05855915399880123,1.0552509014494467,0.9488506611995432,2.0890174283087246,1.0140624999999872
