epoch,train_loss,val_loss
1,11.137739216412108,11.250235960740309
2,11.390330719947816,11.211072928795447
3,11.010323270161946,11.070129789499136
4,11.154232557614645,10.937193940382738
5,10.94407320022583,11.40249858034574
6,11.001688909530639,10.79232207606389
7,10.821767671902974,10.803503103402944
8,10.947730207443238,10.720437373821552
9,10.761496631304423,10.789563351557804
10,10.651134085655212,11.428794342041016
11,11.170113015174866,10.854082018338717
12,11.240108195940653,11.025750350952148
13,10.961697721481324,10.960221565246583
14,11.127920039494832,11.117654204148513
15,11.077815222740174,11.554957623995268
16,11.147560707728069,11.248473403930664
17,11.091734902064006,11.547049058767465
18,11.556276949246724,11.441188799344577
19,11.30331159432729,11.58292556997446
20,11.440502643585205,12.040981070885291
21,11.5236580123504,11.769043335547813
22,11.785906998316447,12.177521878169133
23,11.80841726064682,12.092025641808142
24,12.111426750818888,12.334291161170373
25,11.993226039409638,13.099287022517277
26,12.44207023382187,12.687441537710336
27,12.505535572767258,13.065545766390287
28,12.699318198362986,12.985987729586087
29,13.361837561925253,13.647624158419095
30,13.849393486976624,14.514488454378569
31,13.836436321338018,14.112189154991738
32,14.236889926592509,14.790345988933856
33,14.57490849494934,14.661602630615235
34,14.849514718850454,15.392309411855845
35,15.649661008516947,16.763631618793195
36,15.858582858244578,16.12537196115347
37,16.20835127433141,17.27210370342548
38,17.06618437767029,17.15094463289701
39,18.00003313223521,18.307685139582706
40,18.146288124720254,20.512768885685848
41,20.1258829275767,19.61025300832895
42,19.89914087454478,21.378532903817984
43,21.384793758392334,21.20236972632775
44,22.160858082771302,23.01719554607685
45,22.556021229426065,26.05973322002704
46,24.48835129737854,24.799587451641376
47,26.348958492279053,27.31450801086426
48,26.70439648628235,27.164621233426608
