epoch,train_q,train_v,val_q,val_v
1,11.330201927820841,0.002419200198103984,11.264368550814115,0.004039964385330677
2,11.271648701032003,0.006854097521863878,11.219169072077824,0.010535677038133144
3,11.09076956907908,0.013618415143961707,11.177941412705641,0.018252429409668997
4,11.108428438504538,0.01859608949162066,11.143159950843224,0.021188299502317723
5,11.23955135345459,0.021438702071706454,11.10220030095027,0.023266017933304493
6,10.95153706073761,0.025584481563419102,11.056753072885366,0.026689227521419525
7,10.893964966138205,0.02294844053685665,11.008884370657114,0.0254388238042593
8,11.003423325220744,0.024925000996639333,10.952108758192797,0.03341484793332907
9,10.778684091567992,0.02916679959744215,10.895405819232646,0.038127253665373874
10,10.903889433542888,0.03241297078008453,10.842810940082257,0.03032265418767929
11,10.865196402867635,0.031997593492269515,10.776991528437687,0.03899975628119249
12,10.514317219456037,0.0376440504565835,10.709429636441744,0.04371530244442133
13,10.569860967000325,0.04084955183789134,10.664588294396033,0.05014402721707637
14,10.391498446961243,0.04438771413018306,10.599429313072791,0.05543489828476539
15,10.390641935666402,0.05077388398349285,10.563956944392277,0.060158388036947986
16,10.410702991485596,0.06007580831646919,10.518603499192459,0.0617265051649167
17,10.315199462572734,0.06273452714085578,10.481458831200232,0.06813323910419758
18,10.303789981206258,0.06792493065198263,10.453421407259427,0.07819737360569147
19,10.362194005648295,0.07875299956649542,10.422030648451585,0.08124610033860573
20,10.195954020818075,0.0748610470443964,10.404594063978928,0.09655974817276002
21,10.42756801446279,0.08650506623089313,10.3807270895151,0.09438665009003419
22,10.277725625038148,0.09028849949439367,10.378784351642315,0.08879748884989665
23,10.312178707122802,0.09057154717544715,10.354131624661958,0.10290431842437157
24,10.148351748784384,0.09098834184308847,10.33463939314622,0.11686908180438556
25,10.152835901578268,0.10038898885250092,10.331266223027155,0.10614340901833313
26,10.105394617716472,0.10345085859298705,10.31744836308406,0.1149438734788161
27,10.053100693225861,0.10923704728484154,10.309167789165791,0.10880052132331408
28,10.10377869606018,0.1050509807964166,10.294148593022273,0.11387961863554441
29,10.258939011891682,0.11040846382578214,10.28158993941087,0.12000837120643029
30,10.163414065043131,0.11157353011270364,10.279140462435208,0.1237313413482446
31,10.096114150683086,0.11652228658397992,10.271014641981859,0.11966475261174715
32,10.020807981491089,0.112563256919384,10.253012296823355,0.13786332628360162
33,10.094257314999899,0.12451434507966042,10.253399049612192,0.12758552976754994
34,9.965140501658121,0.11822895693282286,10.238236640343299,0.136580594594662
35,9.98351173400879,0.12265181218584378,10.224385799701396,0.13517568596509788
36,9.923777321974436,0.12592837413152058,10.219400287921612,0.15252080975129054
37,9.96819707552592,0.12498914388318856,10.211910132188063,0.14236617506467378
38,10.039824231465657,0.1253411258260409,10.181858191856971,0.14508078721853404
39,10.01728212038676,0.13056733186046282,10.184665316655085,0.15000239394261286
40,9.904438090324401,0.12999717903633912,10.166535460252028,0.14381572356590858
41,9.899890160560608,0.1342565042277177,10.172046750582181,0.14678157244278833
42,9.898453092575073,0.1284328987201055,10.14271793776292,0.15462063190570244
43,9.896122018496195,0.13346406954030196,10.140152490469125,0.1559981444157087
44,9.98686736424764,0.13591058713694412,10.131769440871018,0.15615202707510728
45,9.968686763445536,0.13924592932065327,10.15081778364915,0.1697781986273252
46,9.912220605214436,0.1384435142079989,10.116627501267653,0.1606035272708306
47,9.76176994641622,0.1414231547464927,10.111544621981107,0.15688686159940865
48,9.904448525110881,0.1392454382032156,10.099624782855694,0.15611527086221255
49,9.98424898783366,0.1412474346657594,10.103146665132963,0.16510096475711236
50,9.86790055433909,0.14266867352028686,10.088858320969802,0.1700466075860537
51,9.953371461232503,0.14244013826052349,10.082154212364784,0.15716796482526338
52,9.804090436299642,0.14419867185254892,10.077048015301044,0.166821687744214
53,9.861175656318665,0.14344826166828473,10.064644328190731,0.1774953406223884
54,9.799125997225444,0.1464153637488683,10.08706544142503,0.164897250019587
55,9.920611580212912,0.14509356791774433,10.0524914157574,0.16588723263373742
56,9.899772238731384,0.14618532583117486,10.062948800307053,0.17471238107864673
57,9.835218803087871,0.14829738748570284,10.045065716083233,0.16723987857195047
58,9.888452696800233,0.14931948569913706,10.049242726839505,0.1746341274701632
59,9.90140942732493,0.15220758294065792,10.045923477759729,0.1627270305431806
60,9.87145765622457,0.1470472118506829,10.038485427856445,0.17385933578014373
61,9.67223344842593,0.1476417334129413,10.032235970130333,0.1659028330216041
62,9.83471659819285,0.14829866985479992,10.02912697660006,0.1701902591265165
63,9.929619121551514,0.15386350726087888,10.039519596980169,0.17348923970185792
64,9.783859411875406,0.15210155360400676,10.039310547461877,0.16721645143398872
65,9.711950079600017,0.14997466976443927,10.021406968923715,0.17682442784309388
66,9.816814351081849,0.15083481185138226,10.019012164189265,0.17916704171437484
67,9.67172204653422,0.15589998898406823,10.012421033419095,0.17905270757124975
68,9.764974880218507,0.15302715376019477,10.009366360004131,0.17533963668346406
69,9.734909963607787,0.151046210154891,10.010802565941443,0.17433620476722717
70,9.636738471190135,0.15289588669935864,9.998635037348821,0.1843487444474147
71,9.801708483695984,0.1535133338222901,10.002760144160344,0.18412610672070429
72,9.832457796732585,0.1573638302584489,9.998881065368652,0.1794864440239393
73,9.659140268961588,0.15666009498139222,10.00721892606295,0.17691692018508912
74,9.644244186083476,0.15518374828000864,10.011475227355957,0.1858059707054725
75,9.699198134740193,0.15814498985807102,10.020165247403659,0.18268346225298368
76,9.694383827845256,0.15696823969483376,9.998971397399902,0.18218263472960544
77,9.791191864013673,0.1564023414005836,9.998941267747146,0.18216773134928482
78,9.68197983900706,0.15414418416718642,10.004352364173302,0.18033119907745948
79,9.742018715540569,0.15570873419443768,9.992451722365159,0.18475451305279364
80,9.929647143681844,0.1570765171200037,9.994114807128906,0.18874694820550772
81,9.816319505373636,0.1608510546386242,10.000784306452825,0.18649785527816184
82,9.815442140897115,0.1564233190069596,10.011124318049504,0.18746157589325538
83,9.655805969238282,0.15857945717871189,10.004714329646184,0.19050323462486268
84,9.763539298375447,0.15921683957179386,10.001037840036245,0.19492249009242424
85,9.671042895317077,0.16026372338334718,9.996556257394644,0.1868896591113164
86,9.68397794564565,0.15781960549453894,10.014930085402268,0.18651715660095214
87,9.608196886380513,0.1599395487457514,10.007487452580378,0.18757050879185017
88,9.696299815177918,0.16030419953167438,10.010375255878156,0.1914443097481361
89,9.569506613413493,0.1624386156598727,10.006039884127103,0.1941725296148887
90,9.672449151674906,0.16152418355147044,10.021197927034818,0.19441296115288367
91,9.620471739768982,0.16142996090153852,10.006620927077073,0.1930762647298666
92,9.74984040260315,0.1675584161033233,10.021297471853403,0.20559883362513323
